Sample	posterior	likelihood	prior	treeLikelihood.sequences_anotated_aligned	treeHeight.t:sequences_anotated_aligned	treeLength.t:sequences_anotated_aligned	Tree.t:sequences_anotated_aligned.count_adult_to_old	Tree.t:sequences_anotated_aligned.count_adult_to_young	Tree.t:sequences_anotated_aligned.count_old_to_adult	Tree.t:sequences_anotated_aligned.count_old_to_young	Tree.t:sequences_anotated_aligned.count_young_to_adult	Tree.t:sequences_anotated_aligned.count_young_to_old	Tree.t:sequences_anotated_aligned.count_adult	Tree.t:sequences_anotated_aligned.count_old	Tree.t:sequences_anotated_aligned.count_young	rootTypeLogger.t:sequences_anotated_aligned	R0.t:sequences_anotated_aligned.1	R0.t:sequences_anotated_aligned.2	R0.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.1	samplingProportion.t:sequences_anotated_aligned.2	samplingProportion.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.4	samplingProportion.t:sequences_anotated_aligned.5	samplingProportion.t:sequences_anotated_aligned.6	becomeUninfectiousRate.t:sequences_anotated_aligned.1	becomeUninfectiousRate.t:sequences_anotated_aligned.2	becomeUninfectiousRate.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.1	rateMatrix.t:sequences_anotated_aligned.2	rateMatrix.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.4	rateMatrix.t:sequences_anotated_aligned.5	rateMatrix.t:sequences_anotated_aligned.6	geo-frequencies.t:sequences_anotated_aligned.1	geo-frequencies.t:sequences_anotated_aligned.2	geo-frequencies.t:sequences_anotated_aligned.3	clockRate.c:sequences_anotated_aligned	kappa.s:sequences_anotated_aligned	proportionInvariant.s:sequences_anotated_aligned	gammaShape.s:sequences_anotated_aligned	freqParameter.s:sequences_anotated_aligned.1	freqParameter.s:sequences_anotated_aligned.2	freqParameter.s:sequences_anotated_aligned.3	freqParameter.s:sequences_anotated_aligned.4
0	-75072.41230103208	-74300.06013869097	-772.3521623411108	-74300.06013869097	5.5916672859274446	40.9929611687222	10	14	18	12	10	19	105	46	49	0	2.0	2.0	2.0	0.0	0.01	0.0	0.01	0.0	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.34	0.33	0.33	0.0098	2.0	0.86	1.0	0.25	0.25	0.25	0.25
1000000	-48637.73314838986	-48867.4382322097	229.70508381984033	-48867.4382322097	2.5849468219236327	104.80634434758392	55	66	112	3	62	46	154	33	13	0	1.059754025309982	0.99142238012392	0.9185756121942054	0.0	0.002186606264942156	0.0	7.793126094915773E-4	0.0	0.005000103547886377	102.23502856141363	102.23502856141363	102.23502856141363	4.721878681840213	1.7440306013101166	0.532876409333587	1.008169455008317	4.290230743140239	0.8478064368984298	0.34	0.33	0.33	2.602282408653151E-4	5.508380734148875	0.7552285261880025	1.3491550916300645	0.2947850011923069	0.18139605966468808	0.19549926505042342	0.3283196740925815
2000000	-48400.798000320596	-48845.21558429029	444.41758396969004	-48845.21558429029	2.1873516329400413	80.09232276909229	87	56	128	0	40	48	127	54	19	2	1.0950009532461027	0.9969379370746894	0.9143139861400108	0.0	0.004386660838852485	0.0	7.323784700434393E-4	0.0	0.010152786680360166	103.6982725896791	103.6982725896791	103.6982725896791	10.886436956697768	1.8999269563056367	0.8881324317495005	0.7962926841125154	8.62284567951568	0.07379501177997003	0.34	0.33	0.33	3.401812727819951E-4	5.621612189477614	0.6638334940499209	0.4433659608030751	0.2914333072660087	0.1854578407672008	0.1894165729188846	0.33369227904790577
3000000	-48306.38302151182	-48865.36605596025	558.9830344484317	-48865.36605596025	1.8084915402048938	60.84580153835138	108	6	65	0	19	31	71	121	8	0	1.0197267651915911	1.009913270081575	0.7267664198886401	0.0	0.00326292594521902	0.0	2.0117196710926202E-4	0.0	0.025857685391498183	200.52566654505233	200.52566654505233	200.52566654505233	7.164847221099147	1.8239617241790427	1.0931090466611302	0.4254677214831047	5.039707717804498	0.2685464395804016	0.34	0.33	0.33	4.462635211785269E-4	4.8907806600224	0.6578759539132836	0.586043400173576	0.29852057215661826	0.18036714238264637	0.19175692268579508	0.32935536277494
4000000	-48240.503183002584	-48866.051737000045	625.5485539974637	-48866.051737000045	1.5361744535674184	55.17048971005205	99	0	57	0	23	16	83	104	13	1	1.0329429008439095	1.0113919455247065	0.7586572874860911	0.0	0.0028937063577030298	0.0	1.2974619094241157E-4	0.0	0.03794503748149445	226.171971157363	226.171971157363	226.171971157363	9.198754722377359	1.456882506657658	0.8547785348727543	0.10012118453889893	0.14116171672343059	0.8653507448733059	0.34	0.33	0.33	5.132380792852068E-4	5.318871609768404	0.7971871517172928	1.753767833662973	0.29386236037876085	0.18009278301499324	0.1955152009492689	0.33052965565697645
5000000	-48076.68314360703	-48848.98121806066	772.2980744536353	-48848.98121806066	1.9257545505532863	52.17290999247473	98	0	20	0	28	14	51	139	10	0	0.9423772361426618	1.010152383379056	0.6138655903040237	0.0	0.0064704495037994	0.0	1.247072826640169E-4	0.0	0.12363185638776404	295.7620976414607	295.7620976414607	295.7620976414607	8.237150171120227	3.4675632809536334	0.9585662488057635	0.03215570810045233	0.31237367873408955	0.9284079718363754	0.34	0.33	0.33	5.154940949449718E-4	5.703735440136888	0.7106819650055176	0.7683985305091356	0.2969867825716555	0.18040622591626262	0.19303991286979585	0.32956707864228546
6000000	-47905.06346922783	-48859.21737264227	954.1539034144404	-48859.21737264227	1.222292787931504	41.59344215633553	91	0	1	0	38	7	50	143	7	1	0.8791790625962307	1.0109623857466294	0.3571679373080052	0.0	0.013630679779555491	0.0	7.006753912799339E-5	0.0	0.36756530301254886	403.4208042405846	403.4208042405846	403.4208042405846	0.7395719888982398	4.891002707840015	0.503714077172654	0.009965116228934392	1.6105910538531596	3.2060064499985996	0.34	0.33	0.33	6.798480946402074E-4	5.501716150048868	0.7669377359090603	1.5009793072236977	0.3006337509019726	0.18237206138209527	0.1904011712348875	0.32659301648104405
7000000	-47969.01585044206	-48854.631978382495	885.6161279404342	-48854.631978382495	1.347540790501671	45.240872198096994	94	0	0	0	38	6	46	146	8	1	0.852094213769218	1.0107139002538095	0.3240190749478256	0.0	0.020004354589095545	0.0	5.824033543896407E-5	0.0	0.2665290744738687	329.77141985843747	329.77141985843747	329.77141985843747	3.2914626145070676	5.53167260276519	0.48429405448819646	0.007425679050292023	0.7098974265172732	1.0830946682240838	0.34	0.33	0.33	6.07916866458273E-4	5.3626400195064505	0.8365033959296435	3.1363538294885984	0.2925811908649775	0.18380718176856994	0.1944503414414411	0.3291612859250106
8000000	-47971.485380531005	-48864.58082657368	893.0954460426703	-48864.58082657368	1.3367222003599237	39.351816543782206	87	0	0	0	35	10	50	143	7	1	0.9592284003245566	1.0091724516508433	0.5697659077365688	0.0	0.006324622447974803	0.0	8.503705911194496E-5	0.0	0.07839460528085847	384.02895680148157	384.02895680148157	384.02895680148157	0.3219902493309457	7.505479437637684	0.8526663263796421	0.046070715632778425	1.977089157818571	0.5619989806153041	0.34	0.33	0.33	6.807366094703151E-4	5.016544705347283	0.7460094198784841	0.8281443109322304	0.29142500247090847	0.180385967866073	0.19340615664958002	0.3347828730134373
9000000	-47929.74690153627	-48854.64955468004	924.9026531437706	-48854.64955468004	1.080921262255879	38.081586802658286	91	0	1	0	35	8	47	144	9	1	0.870108183305722	1.0137144741231263	0.47655196538836275	0.0	0.015707095308688218	0.0	9.995633020617271E-5	0.0	0.31475645494028437	319.0149221660151	319.0149221660151	319.0149221660151	0.659640592839378	3.714836113677687	0.7480930572808144	0.011761651413440157	2.190656962938408	0.20835465323479205	0.34	0.33	0.33	7.297010753409733E-4	5.814754702038034	0.7491684125336417	0.9858863946822706	0.2948847284334389	0.18299732833600704	0.19253397484820037	0.3295839683823524
